institute,field,why,expectations,level,advice,rating_value
EVR,ריפוי בעיסוק,מעניין אותי שילוב של הטיפול הנפשי והפיזי ולעבוד עם אנשים בעיקר ילדים.,בינתיים אני רק בתחילת שנה ראשונה אך נראה כי זה עונה על הציפיות פשוט הכל בהתחלה מבואות ורקע כללי יותר פחות דגש על ריפוי בעיסוק.,רמת הלימוד טובה.,"תשאלו ותחקרו את הנושא לפני. סה""כ מקצוע מאוד חשוב וגם נחשב,אחלה רמה של סטודנטיות ומרצים.",9
EVR,ריפוי בעיסוק,רציתי את הפן הטיפולי. רציתי שיהיו לי הרבה אפשרויות תעסוקה וזה היה נשמע לי טוב וכיף לרפא אנשים ולעזור להם בחיים.,"לבנתיים אני חשה שהמקצוע ענה לציפיות שלי.. אך אני עוד בהתחלה ולא ממש יודעת מה בדיוק יהיה..
לבנתיים אני נהנית מהרמה ומהלימוד עצמו..",אני שמחה מהלימודים ומקווה שאוהב את המקצוע בעתיד,צריך לדעת לחרוש.. רמה לימודית גבוהה..,8
EVR,ריפוי בעיסוק,המקצוע מבחינתי היינו טיפול מקיף הנוגע באדם כולו ולא בבעיה ספציפית,לפני שהלכתי להתקבל למקצוע הלכתי לראות אנשים שעובדים בשטח מאד מומלץ,..,מומלץ מאד לבחון מקומות של ריפוי בעיסוק ולדבר עם מרפאות בעיסוק לפני החלטת לקבלה למקצוע. הלימודים מאד מכוונים לעבודה במרפאים בעיסוק ומי שלא בטוח יכול להיות שלא ימצא את עצמו בזה או שאולי יגלה שזה בדיוק מה שחיפש,9
EVR,ריפוי בעיסוק,"רציתי שילוב של טיפול ורפואה, ועבודה עם אנשים מתוך תהליך","אני מאוד מרוצה מהבחירה שלי ללמוד ריפוי בעיסוק, עם זאת בשנה א' היו מספר קורסים שלא הרגשתי שתרמו לי רבות.",בקורס יש כ- 50 סטודנטים כך שיש תחושת אינטימיות והיכרות מקרוב גם עם המרצים. אין לנו מתרגלים,לחשוב היטב לפני שמתחילים ללמוד אם זה התחום שרוצים כי הוא מאוד ספציפי.,8
EVR,ריפוי בעיסוק,בחרתי ללמוד מקצוע שמעניין אותי ושארצה לעבוד בו בעתיד,המסלול קשה מאוד והדרישות האקדמאיות גבוהות,הרמה הנדרשת גבוהה מאוד,להיות מוכנים ופנויים ללימודים אינטנסיביים ולהשקיע,9
EVR,ריפוי בעיסוק,"בחרתי בריפוי בעיסוק מכמה סיבות: א. זה מקצוע נהדר ומספק מאוד, ב. העובדה שהתואר הראשון מאפשר לעבוד בתחום, בניגוד להרבה מקצועות טיפוליים אחרים, ג. מסלול לימודים עם הרבה שטח, שמאפשר באמת לחוות את העבודה ולהבין אילו כיוונים מתאימים לך.","מסלול לימודים מרתק, מקיף המון תחומים ונותן כלים אמיתיים לטיפול.","יש יתרון גדול לעובדה שכמות הסטודנטים מצומצמת יחסית וההרכב קבוע בכל הלימודים, כך שאפשר (די חייבים) להיעזר הרבה מאוד בחברים. הרמה גבוהה ולא קל לעמוד בקצב, במיוחד כשכמעט אין תרגולים או שיעורי עזר, כך שאם רוצים להשאר בעניינים- צריך ליזום את זה בעצמך. עם זאת, ","ללכת לברר קצת מה זה באמת ריפוי בעיסוק, אפילו סתם להכנס לקליניקה ולשאול קצת שאלות, לבקש לראות מה עושים. אם כבר החלטת שזה מתאים לך, אז חשוב להבין שזה לא מסלול קל, אבל גם לא להלחץ יותר מדי. אם מגיעים לראיון, לבוא מוכנים, לדעת למה אתם רוצים ללמוד ריפוי בעיסוק ומה זה בדיוק. אחר כך לחסוך המון כסף, כדי שלא יהיה לחץ של כסף תוך כדי הלימודים (זה באמת מפריע), ואם לא מתקבלים פעם ראשונה- לא להתייאש, זה שווה את זה.",9
EVR,ריפוי בעיסוק,"רציתי ללמוד משהו שמתמקד הן בנפש האדם והן בגוף ובדרכים שבהן ניתן לעזור לאדם להשתקם תוך כדי שימת דגש על שני המאפיינים הנ""ל.","הלימודים עצמם מעניינים, אבל יש תחושה שביה""ס לא באמת מעוניין בהצלחת תלמידיו.",44 בכיתה. רמה גבוהה יחסית.,לקחת דברים בקלות. לא צריך להוציא 90+ בכל מבחן. צריך להנות מהתהליך,10
EVR,ריפוי בעיסוק,מכיוון שרציתי לשלב בין טיפול וחינוך,"בשנה א' לא הרגשתי כך אבל החל משנה ב' כן. התכנים מאד מעניינים ומאד מגוונים, התחומים רבים והעבודה מעניינת",הרמה מאד גבוהה אך לעיתים מרגיש שהזמן מתבזבז על שטויות,להיות מוכנים ללחץ רב ולעניין רק החל מהשנה השנייה. אבל שווה את זה..,8
EVR,ריפוי בעיסוק,חיפשתי מקצוע פרא-רפואי ורציתי ללמוד באוניברסיטה ובירושלים.,ההרגשה בבית הספר לריפוי בעיסוק קצת דומה לתיכון ועל כן אני לא מרגישה שאני לומדת באוניברסיטה.,אין מתרגלים בבית הספר ועל כן אין תירגולים. כמות הסטודנטים קבועה וקטנה כי בית הספר שומר על מספר מצומצם של סטודנטים.,לבוא בראש פתוח ומתוך הבנה שהלימודים מאוד שונים מהמצופה באוניברסיטה.,8
EVR,ריפוי בעיסוק,חיפשתי מקצוע שאינו מצריך ישיבה במשרד ומאפשר יצירתיות והסתכלות על הלקוחות כאינדיבדואלים. עבודה שכל יום עבודה בה אינו דומה ליום לפניו,המסלול מגוון מאד בו מלמדים את כל התחומים הקיימים במקצוע. נותנים טעימה מכמעט כל תחום וכן בכל שנה החל משנה שנייה יש הכשרה מעשית במקומות ציבוריים.,רמת הלימודים גבוהה עם דרישה לחשיבה וניתוח עצמי.,לפני שמתחילים ללמוד או כשרק מתחילים להתעניין ללכת ולצפות במספר מקומות על מרפאות בעיסוק על מנת יגיעו מוכנים יותר וידעו למה נכנסים. כמו כן לקחת בחשבון שהלימודים קשים ואינטנסיביים בייחוד שנה ב'.,9
EVR,ריפוי בעיסוק,רציתי לעסוק במקצוע טיפולי עם אוכלוסיות מיוחדות הדורש מקצועיות.,"הלימודים מאתגרים, מעניינים, פרקטיים",כמות הסטודנטים קטנה - עד 45 בהרצאה. אין מתרגלים בכלל וגם לא תרגולים,לכו לראות טיפולים בריפוי בעיסוק במקומות שונים לפני הראיונות,5
EVR,יחסים בינלאומיים,עניין אישי,"החוג ליחב""ל מאוד לא רציני, בהיסטוריה יש עניין רב אבל החוג מתפורר מחוסר תקציבים",מעניין ומרחיב אופקים,"כנסו לשיעורים לפני שאתם נרשמים, הסילבוס מטעה וקשה להסתמך על עצות של אחרים- תנסו לבד.",8
EVR,יחסים בינלאומיים,"כבר מגיל צעיר התעניינתי בנושאים הקשורים ליחסים בין מדינות וליחסי ישראל והעולם. חשבתי כי זהו תואר שלא מחייב עיסוק ספציפי יחיד, ולכן ישנן המון אופציות לתעסוקה לאחר מכן.
כמו כן, סין הינה מדינה אשר מתפתחת בקצב מהיר במיוחד ולא יזיק ללמוד על התרבות וההיסטוריה הסינית (ושל מזרח אסיה בכלליות).","לא כל הקורסים מעניינים, וכן חשוב לציין כי באוניברסיטאות אין שיעורים מעשיים והכל עיוני, ולכן הידע שנצבר הוא רב, אך ללא ידע מעשי.","נהנתי מאוד מרוב המרצים ומהלימודים העיוניים, אך היה חסר לי במיוחד לימודים מעשיים או תוכניות לימודים שונות אשר יכולות להתאים למקצועות השונים",לדעת שיש דרישות רבות במהלך הלימודים וכדאי לדבוק בהם כי באוניברסיטה העברית כולם טובים וחכמים וצריך להיות טיפה מעל כולם כדי להצליח....,7
EVR,יחסים בינלאומיים,נמשכתי תמיד לנושא הסכסוך הישראלי פלסטיני והיה לי רצון לעבוד בתחום ההסברה. חשבתי שבלי להבין את ההיבטים ההסטוריים של הסכסוך לא ניתן יהיה להסבירו. היום עוסקת במשהו שדי קרוב לשאיפה.,"החוג למזרח תיכון נתן לי את כל ההיבטים שחיפשתי. הוא גם היה מובנה בצורה של פרמידה שבכל שלב מוסיפים לך קורסים שמתבססים על ידע קודם דבר שמעשיר, מלמד בצורה טובה מאוד, ומגרה אותך לדעת ולהבין כל קורס וקורס. לדבי החוג ליחסים בינלאומיים- המרצים היו מדהימים, ממש מושא הערצה בקרב הסטודנטים, היה מגוון של קורסי בחירה וכך כל אחד מצא לו את תחום העניין שלו בהיבטים של היחסים הבינלאומים. רמה מאוד גבוה שמעודדת אותך לחשוב ולא רק לשנן","האוניברסיטה העברית היא מוסד מצוין שמציב רמה גבוהה, ודרישות גבוהות אך גם מספק מרצים ותכני לימוד בהתאם. מי שבא לאוניברסיטה כדי ללמוד ולהחכים באמת- כדאי לו ללכת לאוניברסיטה העברית.","אם אתם אוהבים ללמוד, לקרוא חומרים, לנתח תהליכים פוליטיים ומדיניים ורוצים להשקיע- זה המקום בשבילכם. אם אתם רק בעניין של ""לעשות תואר"". האוניברסיטה העברית זה לא בשבילכם.",10
EVR,יחסים בינלאומיים,"עניין, רצון להמשך קריירה בתחום",היה מעניין בחלקו.,"מעניין, אך לא מועיל לתעסוקה","לכו ללמוד את זה רק אם זה מעניין אתכם, ותדעו שעבודה בתחום תמצאו רק עם המון מזל.",7
EVR,יחסים בינלאומיים,התחום עניין אותי ורציתי לדעת ולהבין יותר. בחרתי ללמוד באוניברסיטה העברית משום שבאף אוניברסיטה אחרת אין מסלול של יחסים בינלאומיים לתואר ראשון,אני מרגישה שהרחבתי מאוד את הידע הכללי וההבנה לגבי מה שקורה בעולם,"ענה על הציפיות מבחינת הרחבת הידע, אבל יש לי הסגות לגבי חלק מהמרצים","לבוא עם המון רצון ומוטיבציה, כי אלו לימודים שנראים אולי קלילים וזורמים, אבל בפועל הדרישות הן גבוהות וצריך להשקיע הרבה כדי להצליח",8
EVR,יחסים בינלאומיים,"בחרתי את המסלול מכיון שרציתי לעבוד בבמשרד החוץ. בנוסף, זה היה חלום ילדות להתעמק בתחום המרתק הזה.","מבחינה אקדמית ענה בצורה פנטסטית. מבחינת שוק העבודה, קשה מאוד להתברג בתחום מבחינת תעסוקה.
כיום מועסק בתחום אחר לחלוטין.",תואר מקצועי לעילא,ללכת למסלולו רק אם ממש אוהבים ומוכנים לשקול הסבה תעסוקתית,8
EVR,יחסים בינלאומיים,נושא התואר,לא ענה מפני שהייתה לי שאיפה למשהוא פרקטי יותר,"לא כל-כן ענה לציפיות, ככל שהוא מעניין גם כך הוא בלתי שימושי",ללמוד משהוא מעשי יותו,7
EVR,יחסים בינלאומיים,כי זה מעניין אותי.,"יחב""ל - מאוד תיאורטי ופחות מעשי","ביחב""ל-כיתות גדולות מידי לרוב (אין תקציב), המתרגלים בינוניים ומטה, והדרישה הכללית בלימודים היא גבוהה מאוד ביחבל (הציפיות), אבל נותנים מעט מאוד הדרכה יחסית וגם הבדיקה של המטלות היא קפדנית.
חינוך- מרוצה מרמת הלימודים הנוכחית, אך עדיין המתרגלים הם בינוניים וגם תדירות התרגולים לפעמים קטנה. הדרישות מותאמות לרוב לחומר הלימודי ולרמה בקורס","לעשות שילוב חוגים שמעניין ותורם להם, כי זה בסך הכל תואר במדעי החברה",6
EVR,יחסים בינלאומיים,"עניינו אותי שני התחומים. חשבתי לשלב בין האהבה שלי למוזיקה, שהינה חלק מהחיים שלי, ובין מקצוע אקדמאי שאני מעוניינת להעשיר את הידע שלי בו.",אני מאוד מרוצה מהיכולת לשלב שני תחומים שונים בתואר ראשון. זה גורם לי להרחיב את הידע שלי בשני תחומים במקביל.,הרמה גבוה ומאגרת. אני נהנת מהמטלות ומהטקסטים הנלמדים.,אם אתם לא אוהבים את מה שאתם לומדים - אל תלמדו.,9
EVR,יחסים בינלאומיים,תחום היחסים הבין לאומיים מעניין אותי. מעניין אותי לנסות להבין איך העולם פועל ואיך אפשר לנסות להשפיע על ההתנהגות של המדינות השונות.,"נכון, יש רקע תיאורטי שצריך ללמוד בהתחלה שקשה קצת להבין, אבל בסה""כ הקורסים המתקדמים בהחלט עונים על הציפיות.","ישנם יותר מדי סטודנטים בחלק מההרצאות, היה עדיף לו תנאי הקבלה היו קשים יותר.","תהיו מוכנים לעבוד קשה, ואל תתבאסו מהשנה הראשונה, היא הכי קשה אבל היא עוברת.",8
EVR,יחסים בינלאומיים,"לימודי יחב""ל באוניברסיטה העברית הם ברמה הכי גבוהה בארץ. ירושלים היא הלב והמקום של כל תחום קשרי החוץ בארץ. ישנם שיתופי פעולה רבים ותוכניות בינלאומיות בזכות זה.
כנ""ל לגבי מנהל עסקים. מאוד רציתי לקבל ידע וכלים בתחום הכלכלה והניהול, הרמה הנלמדת גבוהה ביותר.","הציפיות שלי היו לא להיות דיפלומטית בסוף התואר. זה לא מה שהתואר נותן (אין תואר ביחב""ל שבאמת נותן). מה שכן, ציפיתי לקבל כלים וידע וזה אכן מה שקורה בינתיים. כבר עכשיו אני מסוגלת לבחון חדשות ותהליכים בצורה יותר ביקורתית, ונחשפתי לידע עצום ומרתק.
במנהל עסקים- בינתיים כן. רציתי לקבל גם צד ריאלי בתואר, וכלכלה, סטטיסטיקה ומתמטיקה בהחלט עונים על כך ואפילו מעניינים.","המתרגלים לא ברמה גבוהה, מתחלפים הרבה ולא מיומנים. ככל הנראה בשל התנאים הלא משהו שהם מקבלים כסגל זוטר.","לברר טוב טוב מה לומדים ולראות אם באמת אוהבים את זה.
מי שהולך ללמוד יחב""ל- שידע שזה הרבה לימודי תיאוריה שמשולבים בנושאים הכי חמים על סדר היום אבל עם זה לא נעשים שגרירים.
מנהל עסקים- מי שלא רוצה להיות כלכלן אבל מאוד מתעניין בתחומי הכלכלה והניהול זה המקום",5
EVR,יחסים בינלאומיים,"בחרתי במסלול זה היות ויחסים בינלאומיים, פוליטיקה, ממשל ותרבויות שונות מרתקות אותי בדגש מיוחד על אמריקה הלטינית.","באופן כללי, אני מרגישה שהמסלול שבחרתי ענה על הצפיות שלי, אך קשה לומר כי בצורה מלאה.","רמת המתרגלים ביחב""ל גבוהה וכמות הסטודנטים בהרצאה הגיונית.
בחוג השני אין תירגולים וההרצאות בפורום קטן מאוד.","שנה א' היא שנה קשה במסלול ראשי ביחסים בינלאומיים. יש לקחת הכול בערבון מוגבל ולהבין כי מדובר בעיקר בקורסי מבואות עם הרבה דרישות ולא להתייאש מזה. שנה ב' וג' הן שונות ללא היכר, בשלב זה כבר אתה מנתב את עצמך לקורסים ולתחומים שיותר מעניינים אותך.",8
EVR,יחסים בינלאומיים,מפני שחייתי זמן ממושך בחול ועניינו אותי היחסים הבינלאומיים באיזור כמו כן לפי דעתי על מנת להבין יחסים אלו צריך לדעת את ההיסטוריה שעומדת מאחריהם,אני לומדת מה שחשבתי שאני אלמד... למרות זאת לא חשבתי שזה יהיה כל כך אינטנסיבי על הרגע הראשון,"תרגולים גדולים, ולצערי לא הייתי ממליצה על המתרגלים שיצא לי לקבל, אבל שמעתי שיש גם טובים אז...","קחו בחשבון שזה לא קל, המון תיאוריה, אבל זה משתלב מעולה ביחד ואם זה מעניין אותכם לכו על זה (לא יודעת מה תעשו אחרי זה עם זה אבל עדיין )",4
EVR,יחסים בינלאומיים,בחרתי בשתי תחומי עניין שמעניינים אותי,"לא באתי עם ציפיות גבוהות מדי ולכן גם לא התאכזבתי. הן ביחב""ל והן בהיסטוריה מרבית הקורסים היו מעניינים","גם ביחב""ל וגם בהיסטוריה הדרישות הן גבוהות ויש הרבה למידה בבית",לבוא עם ראש פתוח מאוד,8
EVR,יחסים בינלאומיים,"כי יחסים בינ""ל היה נשמע מאוד מעניין וגם התגלה ככזה. אני חושבת ללכת לכיוון של דוברות.",תקשורת ועיתונאות כחוג התגלה כהרבה פחות עיתונאות והרבה יותר חקר תקשורת.,"ביחסים בין לאומיים הרמה גבוהה מאוד, לפעמים גבוהה מדי.","יחסים בין לאומיים- רק למי שיודע ואוהב אנגלית, וחומרים הסטוריים.",9
EVR,יחסים בינלאומיים,משום שהתחום מאוד מעניין אותי ומשלב המון נושאים חברתיים ומדיניים,מכיוון שאני מאוד נהנה מלימודי מדע המדינה ולא מלימודי יחסים בינלאומיים,יש מתפרגלים מאוד טובים ומשקיעים אבל אין הרבה שעות תרגולל,אם זה מעניין אותכם תלמדו את זה מדע המדינה זה נושא מרתק וחשוב מאוד ואחרי שנה א זה עוד יותר מענין,5
EVR,יחסים בינלאומיים,"בגלל מגוון התחומים שלומדים פה לא רק פן אחד כלכלי או פוליטי אלא נוגעים בנוסף לאילו בתחומים משפטיים, סוציולוגים בטחוניים ואחרים. כמו כן התואר פותח דלתות למציאת עבודה אומנם לא תמיד בתחום התואר אבל זה תואר יוקרתי","אני לומדת המון על הכל וממשיכה לתואר שני ביחב""ל.","מדע הדינה הלימודים יותר קלים מביחב""ל אבל יש עומס כבד בשני החוגים הנ""ל אפשר לכתוב עבודות שונות כל שבוע.","לא להתייאש בשנה הראשונה כי היא קשה, החל מהשנייה נכנסים לעניינים- ולבדוק הייטב המלצות על קורסים ומרצים לפני שנרשמים אליהם.",8
EVR,יחסים בינלאומיים,"היה נשמע לי תואר מעניין שמשלב מספר תחומים שמעניינים אותי כגון היסטוריה, מדע המדינה, כלכלה, פילוסופיה","התאכזבתי מאופן הלימוד, ומצוות החוג. גם תוכן הלימוד עצמו לא כולו מעניין ורלוונטי","חסרים מתרגלים, אין יחס אישי, יש תחושה של פס ייצור, מרובעות וחוסר יצירתיות",שיקחו בחשבון שזה לא מסלול ישיר לקורס צוערים,6
EVR,יחסים בינלאומיים,זה היה התחום שנראה לי הכי מעניין ומתאים לי מבחינת פירוט התכנים.,קיוותי שהתואר יהיה גם מעט יותר מעשי ולא רק תיאורטי.,אין מספיק שעות תרגול/ מתרגלים וכמות הסטודנטים בהרצאות היא עצומה,לשלב גם תחום לימודים פרקטי.,6
EVR,יחסים בינלאומיים,"יחב""ל מנע""ס",ענה בצורה מלאה,"ביחב""ל גבוהה, במנע""ס קצת פחות",כנסו לשיעור או שניים טרם קיבלתם החלטה,8
EVR,יחסים בינלאומיים,התעניינתי דרך האינטרנט באפשרויות וזאת נראתה לי,הסילבוסים היו זמינים מראש,יותר מידי סטודנטים בכל תרגול,"תבדקו שזה באמת מה שאתם רוצים ללמוד, בערך חצי פורשים על הסמסטר הראשון!",6
EVR,יחסים בינלאומיים,"התחום ההיסטורי שבין מדינות הוא התחום שהכי עניין אותי, אבל השיקול הפרקטי מנע ממני ללכת ללמוד היסטוריה. הלכתי ללמוד יחסים בינלאומיים כי חשבתי שזה יקל עליי להתקבל לקורס צוערים של משרד החוץ.",היה לי ברור שיהיה לי קשה אבל היה לי גם ברור שיהיה מעניין. על שתי הציפיות האלו המסלול ענה בהתאם.,מתרגלים טובים אבל גם מפוזרים למדי. לא תמיד מרגישים שהם ממש עם האצבע על הדופק,"שיבררו טוב טוב אם זה באמת מה שהם רוצים, כי הפער בין הציפיות של אנשים לבין מה שמתרחש בפועל הוא די גדול",7
EVR,יחסים בינלאומיים,עניין אותי לדעת למה מדינות מתנהגות כמו שהן מתנהגות ואיך המערכת עובדת,אני כן מקבל תשובות לשאלות שלי אבל חשבתי שזה יהיה יותר קל.,המתרגלים שלי שוחים בחומר והלימודים בסך הכל מתנהלים בנועם.,"עבודת צוות ושיתוף פעולה הם המתפתח להצלחה במבחנים ביחב""ל",10
EVR,מדעי התזונה,כי תמיד התעניינתי במזון בריא ובתזונה,הייתי מעוניינת במשרה מלאה(כיום מועסקת בחלקית בלבד.) ולשנות תחום מפעם לפעם למשל לעבור מקשישים לילדים.,התואר היה מעניין אך לימודים לא פשוטים.,שצריך הרבה חזון ואמביציה כדי להצליח.,8
EVR,מדעי התזונה,"שתי סיבות: 1. תזונה בריאה תמיד עניינה אותי ומוד שמחתי לגלות שאפשר ללמוד את זה באוניברסיטה , 2. זה אחד מהתארים הראשונים היחידים שהוא מקצוע","אישית אני חושבת שיש צורך ביותר קורסים ללימוד יחסי מטפל - מטופל ופחות קורסי בחירה לא קשורים שנלקחו מתארים אחרים (ביולוגיה של העץ, אנטמולוגיה וכו' ) ,מעבר לזה מדובר בתואר רציני - 165 נקודות ומקיף , לימודים ברמה גבוהה",בעיקר בגלל עודף קורסי הבחירה הלא קשורים ופחות התמקדות בכלי עזר לעבודה הקלינית שאחר כך .,"לקחת בחשבון שהלימודים לא קלים, מאוד עמוסים - בעיקר השנה הראשונה- אך מאוד מעניינים. לקחת בחשבון שצריך לחכות לסטאז' בסוף הלימודים שלפעמים זה לוקח הרבה זמן . לאחר הלימודים- לקחת בחשבון שהעבודה שימצאו היא קרוב לודאי לא במשרה מלאה, ושבדרך כלל המשרה מורכבת ממספר עבודות בחלקיות משרה ולעיצתים חלק כשכיר וחלק כעצמאי . היתרון של זה- השמיים הם הגבול, גיוון בעבודות ותחומי העיסוק. עם השנים כל אחד מוצא את הנישה שלו ואת מה שמעניין אותו בתחום הרחב הזה שנקרא תזונה",8
EVR,מדעי התזונה,רציתי ללמוד משהו שיעניין אותי וגם תהיה תעסוקה עם תואר ראשון.,"אמנם יש לי מקצוע, אך השכר מאוד נמוך.","מאוד מעניין, אך השכר כדיאטנית מאוד נמוך.",לחשוב פעמיים אם ללמוד מקצוע שלא מתוגמל כראוי והשכר נמוך.,5
EVR,מדעי התזונה,התעניינות בתחום,תחום מעניין ונלמד בצורה מעמיקה ורלוונטית,במסגרת האוניברסיטה מרבית הההרצאות מועברות באודיטוריום לכמות גדולה של סטודנטים דבר המקשה על מתן יחס אישי אך עם זאת התרגולים נעשים בקבוצות קטנות יותר,תנאי קבלה קשים אך לא להתייאש ולהשקיע,5
EVR,מדעי התזונה,"תחום התזונה מאוד מעניין אותי ובעיקר העובדה שהוא משלב בתוכו קורסי פסיכולוגיה לצד קורסים בנושאים רפואיים.
בשנים האחרונות התעניינתי במקצועות הפרא-רפואיים ובסופו של דבר בחרתי במדעי התזונה.","בינתיים אני מאוד נהנית מהבחירה, ובנוסף ראיתי שבשנה הבאה נלמדים קורסים מאוד מעניינים שמתעמקים בנושא התזונה (השנה היו בעיקר מבואות).",רמת הלימודים יחסית טובה בעיני. למרות שבחלק מן הקורסים רמת המתרגלים לא הייתה גבוהה במיוחד והדבר יצר פערים רבים בהבנת החומר אצל תלמידים. כמות הסטודנטים משתנה מהרצאה להרצאה אבל ברוב המקרים היא מתאימה. חבל שאין כל כך שיעורי עזר והסטודנטים נאלצים פעמים רבות,"העצה הכי טובה היא להתמיד בלימודים. לא תמיד קל לקבל ציונים טובים ולכן הלימודים דורשים השקעה רבה שבסוף משתלמת. בנוסף יש לשקול היטב האם כדאי לעבוד שעות רבות במהלך שנת לימודים.
אם קיימת אפשרות כדאי לא לעבוד בסמסטר הראשון בשנה הראשונה ולראות מה מתאים לאותו סטודנט או לתת מעט משמרות בשבוע כדי לא ליצור עומס רב.",7
EVR,מדעי התזונה,עניין אישי ללמוד תחום זה,המסלול מאוד תרם וקיבלתי ידע רב,הרמה גבוהה מאוד,"לכו על זה, מאוד מעניין ומאוד נהנתי",10
EVR,מדעי התזונה,מאוד עניין אותי התחום,מרגישה שהצלחתי להוציא מעצמי את המקסימום.,"רמת הלימודים גבוהה מידי לכמות הסטודנטים באולם. למשל בביוכימיה ובביולוגיה היינו מעל 300 באולם, דבר המקשה על הבנת החומר.","התואר מאוד עמוס. בעוד שבתואר רגיל לומדים בין פעמיים לשלוש בשבוע, בתזונה לומדים 5 פעמים. לקחת בחשבון להמשיך לתואר שני כי אין משכורת טובה בסיום התואר הראשון",3
EVR,מדעי התזונה,כי זה נושא שמעניין אותי ואני חושבת שחשוב לדעת מה נמצא באוכל שאנחנו מכניסים לגוף.,"המחשבה שלאחר התואר צריך לחכות עוד שנתיים לסטאז', ושכדי לעסוק בתחום שבאמת מעניין אותי אהיה חייבת לעשות גם תואר שני, היא דיי מתסכלת.","בחלק מהקורסים המתרגלים טובים וסבלניים, עם זאת ישנם קורסים בהם המתרגלים אינם מקצועיים דיים ומכאן שרמת ההבנה אינה גבוהה.","לחשוב טוב האם הם מוכנים לחכות בין 5 ל-6 שנים (כולל סטאז') על-מנת להתחיל לעסוק בתחום, ולהיות בטוחים שהן מוכנים להשקיע הרבה עבודה בבית כדי להצליח.",7
EVR,מדעי התזונה,התחום מעניין אותי.,אני מרגישה שהסלול ענה על הציפיות.,הרמה גבוהה. יש בהרבה מקצועות תרגולים ושיעורי עזר.,אם אין ידע קודם בכימיה/פיזיקה- ממליצה לקחת מכינה. זה יכול מאוד לעזור ולהקל את הלחץ בשנה א'.,8
EVR,מדעי התזונה,מתוך עניין בתחום הלימודים וכן כי ניתן לעסוק בתחום עם תואר ראשון בלבד,"אני לא בשלב מספיק מתקדם בלימודים כדי שזה יענה על הציפיות, כרגע זה רק היסודות","רמת הלימודים וגם הקושי גבוה, אבל לא תמיד האוניברסיטה מספקת את הכלים המתאימים להתמודדות עם החומר, לדוג' לא מספיק שעות תרגול, מתרגלים ברמה בינונית ומטה וכו'",לבדוק טוב שבנויים למקצוע ויש מקורות מימון חזקים,8
EVR,מדעי התזונה,"התעניינתי בתחום הטיפולי. בדקתי הרבה מסלולים והגעתי למסקנה שתואר זה הכי מתאים לי. הוא מאוד מגוון וכולל בתוכו הרבה כיווני התפתחות ותעסוקה.למרות שתואר זה הוא תואר מדעי,לומדים בו בנוסף הרבה מאוד פסיכולוגיה,יחסי אנוש והיחס לטיפול ולמטופל.","כמו שציינתי, התואר מעניין ומגוון. מקנה ידע בתחומים שונים. מה שחבל(אבל בטח זה גורלו של כל תואר) שאת הדברים החשובים והנחוצים באמת לומדים רק בשנה האחרונה. בעייני יש קורסים שאפשר לצמצם את הקיפם ואף לבטלם ולעומת זאת יש קורסים שכדאי להוסיף.","המתרגלים בסדר גמור. בהרבה מהקורסים אין תרגולים/שיעורי עזר-כניראה מחוסר תקציב.כמות הסטודנטים בהרצאות מאוד גדולה לעומת מכללות מה שמפחית מרמת הלימודים-פחות יחס אישי,פחות יכולת לשאול שאלות,יותר קשה להתרכז..הבעיה מחמירה בתרגולים-בהרצאות עוד מילא אבל התרגולים מ","1. תעזרו בסטודנטים וותיקים-תקבלו הרבה מאוד טיפים מועילים
2. תתחילו לדאוג לגורל הסטאז' שלכם כבר בתחילת הדרך-לוקח זמן לעשות שינויים ואת ההתנהלות של העיניין הזה חייבים ליעל!",6
EVR,מדעי התזונה,תמיד ידעתי שזה מאוד מעניין אותי אני מתאמנת מגיל קטן ותמיד דיברו איתנו על תזונה נכונה אבל תמיד הצלחתי לשבור לכל מי שהטיף לי על תזונה נכונה את המיתוסים אז החלטתי לעשות את זה רישמי גם עם תואר.,ענה בצורה חלקית בנתיים אני רק סיימתי שנה א,הרמה סבירה בסביל אוניברסיטה,תבדקו היטב האם אתם מוכנים למלחמת התשה לקראת הסטז'!,8
EVR,מדעי התזונה,מתוך עניין,יותר קורסי בחירה מעניינים,יש כמה מרצים לא משהו,לכו על זה!!,8
EVR,מדעי התזונה,מתחרת לתחום,כן,חשוב הרצאות מצולמות,השקעה,7
EVR,מדעי התזונה,המקצוע נראה מעניין.,"עד סוף שנה שנייה הלימודים לא מספיק עניינים. הקורסים הם ""ליד"" המקצוע וזה קצת מתסכל.","רמת החומר כאילו גבוהה, אך לרוב נדמה שיש התעסקות גדולה מדי בטפל. מתרגלים לא טובים מספיק ולרוב יותר מדי סטודנטים פר מתרגל.","להיות בטוח שזה מה שאתה רוצה ולהכין את עצמך מנטאלית ללימודים עמוסים.
לקחת את הלימודים בקלות, ולנסות להנות כמה שאפשר...",4
